Year,"Country of Asylum","Country of Origin","Country of Asylum ISO","Country of Origin ISO",Refugees,"Returned Refugees","Asylum Seekers",IDPs,"Returned IDPs",Stateless,HST,OOC
2000,Jordan,"Syrian Arab Rep.",JOR,SYR,0,0,110,0,0,0,0,0
2001,Jordan,"Syrian Arab Rep.",JOR,SYR,0,0,160,0,0,0,0,0
2002,Jordan,"Syrian Arab Rep.",JOR,SYR,5,0,65,0,0,0,0,0
2003,Jordan,"Syrian Arab Rep.",JOR,SYR,28,0,68,0,0,0,0,0
2004,Jordan,"Syrian Arab Rep.",JOR,SYR,37,0,77,0,0,0,0,0
2005,Jordan,"Syrian Arab Rep.",JOR,SYR,40,0,65,0,0,0,0,0
2006,Jordan,"Syrian Arab Rep.",JOR,SYR,42,0,57,0,0,0,0,0
2007,Jordan,"Syrian Arab Rep.",JOR,SYR,41,0,60,0,0,0,0,0
2008,Jordan,"Syrian Arab Rep.",JOR,SYR,44,0,124,0,0,0,0,0
2009,Jordan,"Syrian Arab Rep.",JOR,SYR,138,0,144,0,0,0,0,0
2010,Jordan,"Syrian Arab Rep.",JOR,SYR,198,0,287,0,0,0,0,0
2011,Jordan,"Syrian Arab Rep.",JOR,SYR,193,0,2618,0,0,0,0,0
2012,Jordan,"Syrian Arab Rep.",JOR,SYR,238798,0,491,0,0,0,0,0
2013,Jordan,"Syrian Arab Rep.",JOR,SYR,585304,0,0,0,0,0,0,0
2014,Jordan,"Syrian Arab Rep.",JOR,SYR,623112,0,0,0,0,0,0,0
2015,Jordan,"Syrian Arab Rep.",JOR,SYR,628223,0,0,0,0,0,0,0
2016,Jordan,"Syrian Arab Rep.",JOR,SYR,648836,0,0,0,0,0,0,0
2017,Jordan,"Syrian Arab Rep.",JOR,SYR,653031,8037,0,0,0,0,0,0
2018,Jordan,"Syrian Arab Rep.",JOR,SYR,676283,8099,0,0,0,0,0,0
2019,Jordan,"Syrian Arab Rep.",JOR,SYR,654692,29409,0,0,0,0,0,0
2020,Jordan,"Syrian Arab Rep.",JOR,SYR,662790,3794,0,0,0,0,0,0
