FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,DECIMALS,DECIMALS_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,DATA_SOURCE,DATA_SOURCE_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
A,Annual,AFG,Afghanistan,FAO_AS_4188,Total renewable water resources,M3_Y,Cubic meters per year,2,Two,FAO_AS,Aquastat,9,Billions,FAO_AS,Aquastat,E,Estimated value,PU,Public,18.18,65.33,65.33,65.33,65.33,65.33,65.33,65.33,65.33,65.33,65.33,65.33,65.33,65.33,65.33,65.33,65.33,65.33,65.33,65.33,65.33,65.33,65.33,65.33,65.33,65.33,65.33,65.33,65.33,65.33,65.33,65.33,65.33,65.33,65.33,65.33,65.33,65.33,65.33,65.33,65.33,65.33,65.33,65.33,65.33,65.33,65.33,65.33,65.33,65.33,65.33,65.33,65.33,65.33,65.33,65.33,65.33,65.33,,,,
A,Annual,AFG,Afghanistan,FAO_AS_4188,Total renewable water resources,M3_Y,Cubic meters per year,2,Two,FAO_AS,Aquastat,9,Billions,FAO_AS,Aquastat,I,Imputed value (CCSA definition),PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.33,65.33,65.33,65.33
A,Annual,AGO,Angola,FAO_AS_4188,Total renewable water resources,M3_Y,Cubic meters per year,2,Two,FAO_AS,Aquastat,9,Billions,FAO_AS,Aquastat,E,Estimated value,PU,Public,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,148.4,,,,
A,Annual,AGO,Angola,FAO_AS_4188,Total renewable water resources,M3_Y,Cubic meters per year,2,Two,FAO_AS,Aquastat,9,Billions,FAO_AS,Aquastat,I,Imputed value (CCSA definition),PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.4,148.4,148.4,148.4
A,Annual,ALB,Albania,FAO_AS_4188,Total renewable water resources,M3_Y,Cubic meters per year,2,Two,FAO_AS,Aquastat,9,Billions,FAO_AS,Aquastat,E,Estimated value,PU,Public,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,,,,
A,Annual,ALB,Albania,FAO_AS_4188,Total renewable water resources,M3_Y,Cubic meters per year,2,Two,FAO_AS,Aquastat,9,Billions,FAO_AS,Aquastat,I,Imputed value (CCSA definition),PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.2,30.2,30.2,30.2
A,Annual,ARE,United Arab Emirates,FAO_AS_4188,Total renewable water resources,M3_Y,Cubic meters per year,2,Two,FAO_AS,Aquastat,9,Billions,FAO_AS,Aquastat,E,Estimated value,PU,Public,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,,,,
A,Annual,ARE,United Arab Emirates,FAO_AS_4188,Total renewable water resources,M3_Y,Cubic meters per year,2,Two,FAO_AS,Aquastat,9,Billions,FAO_AS,Aquastat,I,Imputed value (CCSA definition),PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.15,0.15,0.15
A,Annual,ARG,Argentina,FAO_AS_4188,Total renewable water resources,M3_Y,Cubic meters per year,2,Two,FAO_AS,Aquastat,9,Billions,FAO_AS,Aquastat,E,Estimated value,PU,Public,876.24,876.24,876.24,876.24,876.24,876.24,876.24,876.24,876.24,876.24,876.24,876.24,876.24,876.24,876.24,876.24,876.24,876.24,876.24,876.24,876.24,876.24,876.24,876.24,876.24,876.24,876.24,876.24,876.24,876.24,876.24,876.24,876.24,876.24,876.24,876.24,876.24,876.24,876.24,876.24,876.24,876.24,876.24,876.24,876.24,876.24,876.24,876.24,876.24,876.24,876.24,876.24,876.24,876.24,876.24,876.24,876.24,876.24,,,,
A,Annual,ARG,Argentina,FAO_AS_4188,Total renewable water resources,M3_Y,Cubic meters per year,2,Two,FAO_AS,Aquastat,9,Billions,FAO_AS,Aquastat,I,Imputed value (CCSA definition),PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,876.24,876.24,876.24,876.24
A,Annual,ARM,Armenia,FAO_AS_4188,Total renewable water resources,M3_Y,Cubic meters per year,2,Two,FAO_AS,Aquastat,9,Billions,FAO_AS,Aquastat,E,Estimated value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.769,7.769,7.769,7.769,7.769,7.769,7.769,7.769,7.769,7.769,7.769,7.769,7.769,7.769,7.769,7.769,7.769,7.769,7.769,7.769,7.769,7.769,7.769,7.769,7.769,7.769,7.769,,,,
A,Annual,ARM,Armenia,FAO_AS_4188,Total renewable water resources,M3_Y,Cubic meters per year,2,Two,FAO_AS,Aquastat,9,Billions,FAO_AS,Aquastat,I,Imputed value (CCSA definition),PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.769,7.769,7.769,7.769
A,Annual,ATG,Antigua and Barbuda,FAO_AS_4188,Total renewable water resources,M3_Y,Cubic meters per year,2,Two,FAO_AS,Aquastat,9,Billions,FAO_AS,Aquastat,A,Normal value,PU,Public,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052
A,Annual,AUS,Australia,FAO_AS_4188,Total renewable water resources,M3_Y,Cubic meters per year,2,Two,FAO_AS,Aquastat,9,Billions,FAO_AS,Aquastat,E,Estimated value,PU,Public,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,,,,
